statecode,countyname,bldg_count
KS,Ottawa County,19
KS,Pawnee County,34
KS,Phillips County,30
KS,Pottawatomie County,131
KS,Pratt County,93
KS,Rawlins County,30
KS,Reno County,539
KS,Republic County,39
KS,Rice County,53
KS,Riley County,384
KS,Rooks County,25
KS,Rush County,18
KS,Russell County,52
KS,Saline County,483
KS,Scott County,40
KS,Sedgwick County,8541
KS,Seward County,175
KS,Shawnee County,2544
KS,Sheridan County,4
KS,Sherman County,62
KS,Smith County,32
KS,Stafford County,20
KS,Stanton County,5
KS,Stevens County,23
KS,Sumner County,212
KS,Thomas County,96
KS,Trego County,26
KS,Wabaunsee County,30
KS,Wallace County,6
KS,Washington County,26
KS,Wichita County,10
KS,Wilson County,63
KS,Woodson County,28
KS,Wyandotte County,2736
KY,Adair County,87
KY,Allen County,74
KY,Anderson County,208
KY,Ballard County,34
KY,Barren County,370
KY,Bath County,32
KY,Bell County,94
KY,Boone County,1950
KY,Bourbon County,196
KY,Boyd County,1190
KY,Boyle County,410
KY,Bracken County,40
KY,Breathitt County,35
KY,Breckinridge County,74
KY,Bullitt County,677
KY,Butler County,56
KY,Caldwell County,62
KY,Calloway County,205
KY,Campbell County,1499
KY,Carlisle County,12
KY,Carroll County,91
KY,Carter County,274
KY,Casey County,27
KY,Christian County,409
KY,Clark County,392
KY,Clay County,45
KY,Clinton County,36
KY,Crittenden County,29
KY,Cumberland County,30
KY,Daviess County,732
KY,Edmonson County,32
KY,Elliott County,12
KY,Estill County,65
KY,Fayette County,5093
KY,Fleming County,30
KY,Floyd County,151
KY,Franklin County,704
KY,Fulton County,47
KY,Gallatin County,51
KY,Garrard County,52
KY,Grant County,232
KY,Graves County,148
KY,Grayson County,153
KY,Green County,38
KY,Greenup County,473
KY,Hancock County,25
KY,Hardin County,1164
KY,Harlan County,75
KY,Harrison County,75
KY,Hart County,133
KY,Henderson County,299
KY,Henry County,143
KY,Hickman County,12
KY,Hopkins County,241
KY,Jackson County,42
KY,Jefferson County,14090
KY,Jessamine County,614
KY,Johnson County,92
KY,Kenton County,2578
KY,Knott County,29
KY,Knox County,104
KY,Larue County,55
KY,Laurel County,361
KY,Lawrence County,51
KY,Lee County,26
KY,Leslie County,28
KY,Letcher County,79
KY,Lewis County,32
KY,Lincoln County,78
KY,Livingston County,40
KY,Logan County,112
KY,Lyon County,60
KY,Madison County,701
KY,Magoffin County,32
KY,Marion County,105
KY,Marshall County,127
KY,Martin County,22
KY,Mason County,131
KY,McCracken County,693
KY,McCreary County,55
KY,McLean County,31
KY,Meade County,135
KY,Menifee County,17
KY,Mercer County,247
KY,Metcalfe County,34
KY,Monroe County,35
KY,Montgomery County,215
KY,Morgan County,34
KY,Muhlenberg County,107
KY,Nelson County,474
KY,Nicholas County,12
KY,Ohio County,77
KY,Oldham County,566
KY,Owen County,44
KY,Owsley County,3
KY,Pendleton County,75
KY,Perry County,122
KY,Pike County,283
KY,Powell County,75
KY,Pulaski County,318
KY,Robertson County,2
KY,Rockcastle County,73
KY,Rowan County,126
KY,Russell County,121
KY,Scott County,413
KY,Shelby County,701
KY,Simpson County,187
KY,Spencer County,133
KY,Taylor County,208
KY,Todd County,35
KY,Trigg County,68
KY,Trimble County,19
KY,Union County,55
KY,Warren County,1173
KY,Washington County,68
KY,Wayne County,61
KY,Webster County,41
KY,Whitley County,136
KY,Wolfe County,25
KY,Woodford County,250
LA,Acadia Parish,220
LA,Allen Parish,106
LA,Ascension Parish,1100
LA,Assumption Parish,63
LA,Avoyelles Parish,173
LA,Beauregard Parish,147
LA,Bienville Parish,66
LA,Bossier Parish,1535
LA,Caddo County,15
LA,Caddo Parish,3120
LA,Calcasieu Parish,1875
LA,Caldwell Parish,27
LA,Cameron Parish,27
LA,Catahoula Parish,23
LA,Claiborne Parish,54
LA,Concordia Parish,85
LA,De Soto Parish,128
LA,East Baton Rouge Parish,7268
LA,East Carroll Parish,21
LA,East Feliciana Parish,59
LA,Evangeline Parish,110
LA,Franklin Parish,71
LA,Grant Parish,28
LA,Iberia Parish,471
LA,Iberville Parish,191
LA,Jackson Parish,46
LA,Jefferson Davis Parish,166
LA,Jefferson Parish,8651
LA,LaSalle Parish,40
LA,Lafayette Parish,3256
LA,Lafourche Parish,499
LA,Lincoln Parish,289
LA,Livingston Parish,703
LA,Madison Parish,43
LA,Morehouse Parish,137
LA,Natchitoches Parish,173
LA,Orleans County,1
LA,Orleans Parish,8249
LA,Ouachita Parish,1453
LA,Plaquemines Parish,263
LA,Pointe Coupee Parish,90
LA,Rapides Parish,951
LA,Red River Parish,22
LA,Richland Parish,79
LA,Sabine Parish,79
LA,St. Bernard Parish,628
LA,St. Charles Parish,340
LA,St. Helena Parish,33
LA,St. James Parish,77
LA,St. John the Baptist Parish,299
LA,St. Landry Parish,394
LA,St. Martin Parish,280
LA,St. Mary Parish,257
LA,St. Tammany Parish,2520
LA,Tangipahoa Parish,1183
LA,Tensas Parish,15
LA,Terrebonne Parish,838
LA,Union Parish,80
LA,Vermilion Parish,224
LA,Vernon Parish,181
LA,Washington Parish,334
LA,Webster Parish,257
LA,West Baton Rouge Parish,221
LA,West Carroll Parish,50
LA,West Feliciana Parish,48
LA,Winn Parish,51
MA,Barnstable County,3695
MA,Berkshire County,2595
MA,Bristol County,8321
MA,Dukes County,90
MA,Essex County,8616
MA,Franklin County,948
MA,Hampden County,5774
MA,Hampshire County,1666
MA,Middlesex County,16866
MA,Nantucket County,90
MA,Norfolk County,7771
MA,Plymouth County,5147
MA,Suffolk County,10254
MA,Worcester County,8969
MD,Allegany County,701
MD,Anne Arundel County,4777
MD,Baltimore County,7652
MD,Baltimore city,11734
MD,Calvert County,581
MD,Caroline County,274
MD,Carroll County,1413
MD,Cecil County,889
MD,Charles County,1293
MD,Dorchester County,322
MD,Frederick County,2942
MD,Garrett County,247
MD,Harford County,2546
MD,Howard County,2282
MD,Kent County,271
MD,Montgomery County,6421
